poll_time,event_slug,event_name,matchup_id,side,selection,row_kind,book_id,book,american,move_arrow,event_date
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44757,2,Eduarda Moura,moneyline,26,Unibet,145,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44759,1,Giga Chikadze,moneyline,29,Kalshi,265,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44759,1,Giga Chikadze,moneyline,21,FanDuel,270,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44759,1,Giga Chikadze,moneyline,24,Caesars,280,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44759,1,Giga Chikadze,moneyline,25,BetRivers,255,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44759,1,Giga Chikadze,moneyline,20,BetWay,260,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44759,1,Giga Chikadze,moneyline,26,Unibet,255,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44759,2,Joanderson Brito,moneyline,29,Kalshi,-526,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44759,2,Joanderson Brito,moneyline,21,FanDuel,-355,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44759,2,Joanderson Brito,moneyline,24,Caesars,-360,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44759,2,Joanderson Brito,moneyline,25,BetRivers,-345,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44759,2,Joanderson Brito,moneyline,20,BetWay,-350,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44759,2,Joanderson Brito,moneyline,26,Unibet,-345,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44794,1,Natalia Silva,moneyline,21,FanDuel,-250,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44794,1,Natalia Silva,moneyline,24,Caesars,-220,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44794,1,Natalia Silva,moneyline,25,BetRivers,-205,▲,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44794,1,Natalia Silva,moneyline,20,BetWay,-225,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44794,1,Natalia Silva,moneyline,26,Unibet,-205,▲,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44794,2,Wang Cong,moneyline,21,FanDuel,198,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44794,2,Wang Cong,moneyline,24,Caesars,165,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44794,2,Wang Cong,moneyline,25,BetRivers,163,▼,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44794,2,Wang Cong,moneyline,20,BetWay,175,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44794,2,Wang Cong,moneyline,26,Unibet,163,▼,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44602,1,Deiveson Figueiredo,moneyline,21,FanDuel,390,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44602,1,Deiveson Figueiredo,moneyline,24,Caesars,425,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44602,1,Deiveson Figueiredo,moneyline,25,BetRivers,375,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44602,1,Deiveson Figueiredo,moneyline,20,BetWay,350,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44602,1,Deiveson Figueiredo,moneyline,26,Unibet,375,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44602,2,Payton Talbott,moneyline,21,FanDuel,-550,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44602,2,Payton Talbott,moneyline,24,Caesars,-700,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44602,2,Payton Talbott,moneyline,25,BetRivers,-530,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44602,2,Payton Talbott,moneyline,20,BetWay,-549,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-332-4330,UFC 332 Odds,44602,2,Payton Talbott,moneyline,26,Unibet,-530,,2026-10-04
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,44524,1,Alexander Volkanovski,moneyline,21,FanDuel,-113,,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,44524,1,Alexander Volkanovski,moneyline,24,Caesars,-120,,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,44524,1,Alexander Volkanovski,moneyline,25,BetRivers,-117,▼,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,44524,1,Alexander Volkanovski,moneyline,20,BetWay,-110,▲,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,44524,1,Alexander Volkanovski,moneyline,26,Unibet,-117,▼,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,44524,2,Movsar Evloev,moneyline,21,FanDuel,-113,,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,44524,2,Movsar Evloev,moneyline,24,Caesars,-110,,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,44524,2,Movsar Evloev,moneyline,25,BetRivers,-107,▲,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,44524,2,Movsar Evloev,moneyline,20,BetWay,-110,▼,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,44524,2,Movsar Evloev,moneyline,26,Unibet,-107,▲,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,41066,1,Merab Dvalishvili,moneyline,21,FanDuel,140,▲,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,41066,1,Merab Dvalishvili,moneyline,24,Caesars,145,▼,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,41066,1,Merab Dvalishvili,moneyline,25,BetRivers,145,▲,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,41066,1,Merab Dvalishvili,moneyline,20,BetWay,150,▼,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,41066,1,Merab Dvalishvili,moneyline,26,Unibet,145,▲,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,41066,2,Petr Yan,moneyline,21,FanDuel,-172,▼,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,41066,2,Petr Yan,moneyline,24,Caesars,-190,,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,41066,2,Petr Yan,moneyline,25,BetRivers,-182,▼,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,41066,2,Petr Yan,moneyline,20,BetWay,-188,▲,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-333-4321,UFC 333 Odds,41066,2,Petr Yan,moneyline,26,Unibet,-182,▼,2026-10-24
2026-09-10T08:32:34.827807+00:00,ufc-glendale-4328,UFC Glendale Odds,44593,1,Jean Silva,moneyline,29,Kalshi,-405,▼,2026-09-12
2026-09-10T08:32:34.827807+00:00,ufc-glendale-4328,UFC Glendale Odds,44593,1,Jean Silva,moneyline,21,FanDuel,-440,▼,2026-09-12
2026-09-10T08:32:34.827807+00:00,ufc-glendale-4328,UFC Glendale Odds,44593,1,Jean Silva,moneyline,24,Caesars,-420,▲,2026-09-12
2026-09-10T08:32:34.827807+00:00,ufc-glendale-4328,UFC Glendale Odds,44593,1,Jean Silva,moneyline,25,BetRivers,-435,▼,2026-09-12
2026-09-10T08:32:34.827807+00:00,ufc-glendale-4328,UFC Glendale Odds,44593,1,Jean Silva,moneyline,20,BetWay,-450,▼,2026-09-12
2026-09-10T08:32:34.827807+00:00,ufc-glendale-4328,UFC Glendale Odds,44593,1,Jean Silva,moneyline,26,Unibet,-435,▼,2026-09-12
2026-09-10T08:32:34.827807+00:00,ufc-glendale-4328,UFC Glendale Odds,44593,2,Jose Delgado,moneyline,29,Kalshi,312,,2026-09-12
2026-09-10T08:32:34.827807+00:00,ufc-glendale-4328,UFC Glendale Odds,44593,2,Jose Delgado,moneyline,21,FanDuel,310,,2026-09-12
2026-09-10T08:32:34.827807+00:00,ufc-glendale-4328,UFC Glendale Odds,44593,2,Jose Delgado,moneyline,24,Caesars,320,▼,2026-09-12
2026-09-10T08:32:34.827807+00:00,ufc-glendale-4328,UFC Glendale Odds,44593,2,Jose Delgado,moneyline,25,BetRivers,310,▲,2026-09-12
2026-09-10T08:32:34.827807+00:00,ufc-glendale-4328,UFC Glendale Odds,44593,2,Jose Delgado,moneyline,20,BetWay,333,▲,2026-09-12
2026-09-10T08:32:34.827807+00:00,ufc-glendale-4328,UFC Glendale Odds,44593,2,Jose Delgado,moneyline,26,Unibet,310,▲,2026-09-12
